Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:56:05,52.0,47.0,47.0,46.0,48.0,46.0,52.0,46.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,26.7,20.6,0,0.7
2025-04-17_10:56:05,52.0,47.0,47.0,46.0,48.0,46.0,52.0,46.0,47.0,3550.0,3400.0,3400.0,4599.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,4.5,8.7,0.0,0.0,0.0,4.3,100.0,0.0,4.3,26.5,20.4,0,0.7
2025-04-17_10:56:05,52.0,47.0,47.0,46.0,48.0,46.0,52.0,46.0,47.0,3550.0,3400.0,3400.0,4599.9,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.3,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,100.0,4.3,0.0,27.2,21.1,0,0.7
2025-04-17_10:56:05,53.0,47.0,47.0,46.0,47.0,46.0,53.0,48.0,53.0,3625.0,4602.4,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,4600.1,8.4,0.0,0.0,10.5,4.8,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,100.0,4.5,4.8,27.3,21.3,0,0.8
2025-04-17_10:56:06,53.0,47.0,47.0,46.0,47.0,46.0,53.0,48.0,53.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4287.7,4600.0,3400.0,3400.0,8.7,0.0,0.0,13.6,0.0,0.0,4.5,0.0,4.8,4.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,27.8,21.8,0,0.7
2025-04-17_10:56:06,53.0,47.0,47.0,46.0,47.0,46.0,53.0,48.0,53.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.8,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,4.5,4.8,100.0,0.0,0.0,27.2,21.0,0,0.7
2025-04-17_10:56:06,53.0,47.0,47.0,46.0,47.0,46.0,53.0,48.0,53.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,14.3,0.0,0.0,0.0,0.0,4.8,4.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,26.5,20.5,0,0.7
2025-04-17_10:56:06,53.0,47.0,47.0,46.0,47.0,46.0,53.0,48.0,53.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,4.5,0.0,0.0,100.0,0.0,0.0,27.1,21.0,0,0.7
2025-04-17_10:56:07,52.0,47.0,47.0,47.0,47.0,47.0,53.0,46.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.8,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,4.5,100.0,0.0,0.0,26.8,20.8,0,0.7
2025-04-17_10:56:07,52.0,47.0,47.0,47.0,47.0,47.0,53.0,46.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,4600.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.4,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,100.0,4.5,0.0,27.3,21.3,0,0.7
2025-04-17_10:56:07,52.0,47.0,47.0,47.0,47.0,47.0,53.0,46.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,15.0,0.0,0.0,0.0,0.0,4.5,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,27.5,21.3,0,0.7
2025-04-17_10:56:07,52.0,47.0,47.0,47.0,47.0,47.0,53.0,46.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.9,0.0,8.7,13.6,0.0,0.0,0.0,4.8,0.0,5.0,0.0,4.8,0.0,4.8,100.0,4.5,0.0,26.7,20.7,0,0.7
2025-04-17_10:56:07,52.0,47.0,47.0,47.0,47.0,47.0,53.0,46.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.9,0.0,0.0,15.0,0.0,0.0,4.5,0.0,0.0,9.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,27.1,21.0,0,0.7
2025-04-17_10:56:08,53.0,50.0,47.0,46.0,48.0,46.0,53.0,47.0,47.0,3625.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.9,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,27.1,21.1,0,0.7
2025-04-17_10:56:08,53.0,50.0,47.0,46.0,48.0,46.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,15.0,0.0,4.5,0.0,0.0,4.5,4.8,0.0,0.0,0.0,4.8,100.0,4.8,0.0,26.9,20.9,0,0.7
2025-04-17_10:56:08,53.0,50.0,47.0,46.0,48.0,46.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.4,0.0,4.5,14.3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.5,0.0,100.0,0.0,0.0,27.6,21.7,0,0.7
2025-04-17_10:56:08,53.0,50.0,47.0,46.0,48.0,46.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,14.3,0.0,0.0,0.0,0.0,4.8,4.8,0.0,4.5,4.5,4.8,100.0,0.0,4.5,26.9,20.8,0,0.7
2025-04-17_10:56:08,53.0,50.0,47.0,46.0,48.0,46.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,27.1,21.0,0,0.7
2025-04-17_10:56:09,53.0,47.0,47.0,47.0,48.0,46.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,4.5,18.2,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,100.0,0.0,4.5,26.4,20.4,0,0.7
2025-04-17_10:56:09,53.0,47.0,47.0,47.0,48.0,46.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.5,4.8,4.8,100.0,4.5,0.0,27.1,21.0,0,0.7
2025-04-17_10:56:09,53.0,47.0,47.0,47.0,48.0,46.0,53.0,47.0,47.0,3625.1,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.5,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,27.1,21.1,0,0.7
2025-04-17_10:56:09,53.0,47.0,47.0,47.0,48.0,46.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,14.3,4.8,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.5,100.0,0.0,0.0,26.6,20.7,0,0.7
2025-04-17_10:56:09,53.0,47.0,47.0,47.0,48.0,46.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.7,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,12.5,4.3,0.0,0.0,100.0,4.5,0.0,27.1,21.0,0,0.7
2025-04-17_10:56:10,53.0,47.0,47.0,47.0,48.0,46.0,53.0,46.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.8,4.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,4.5,0.0,26.7,20.6,0,0.7
2025-04-17_10:56:10,53.0,47.0,47.0,47.0,48.0,46.0,53.0,46.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.4,4.5,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.5,0.0,4.8,100.0,0.0,4.8,27.2,21.1,0,0.7
2025-04-17_10:56:10,53.0,47.0,47.0,47.0,48.0,46.0,53.0,46.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.7,4.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,100.0,0.0,0.0,26.7,20.7,0,0.7
2025-04-17_10:56:10,53.0,47.0,47.0,47.0,48.0,46.0,53.0,46.0,47.0,3550.0,3400.0,3400.0,4600.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.9,0.0,0.0,13.6,0.0,0.0,4.3,0.0,0.0,0.0,4.5,0.0,0.0,0.0,100.0,4.3,4.3,26.8,20.6,0,0.7
2025-04-17_10:56:11,53.0,47.0,47.0,47.0,48.0,46.0,53.0,46.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.7,4.5,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,5.0,28.1,22.0,0,0.8
2025-04-17_10:56:11,53.0,47.0,47.0,46.0,48.0,47.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.3,0.0,0.0,17.4,0.0,0.0,0.0,0.0,4.5,0.0,9.1,0.0,0.0,4.8,100.0,0.0,0.0,26.7,20.6,0,0.7
2025-04-17_10:56:11,53.0,47.0,47.0,46.0,48.0,47.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,10.0,0.0,0.0,0.0,4.5,0.0,0.0,5.0,4.5,0.0,0.0,100.0,4.8,0.0,26.9,20.9,0,0.7
2025-04-17_10:56:11,53.0,47.0,47.0,46.0,48.0,47.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.9,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,4.3,4.3,100.0,0.0,0.0,26.7,20.6,0,0.7
2025-04-17_10:56:11,53.0,47.0,47.0,46.0,48.0,47.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.5,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,100.0,4.8,0.0,27.4,21.3,0,0.7
2025-04-17_10:56:12,53.0,47.0,47.0,46.0,48.0,47.0,53.0,47.0,47.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,27.2,21.2,0,0.7
2025-04-17_10:56:12,53.0,47.0,47.0,46.0,48.0,47.0,53.0,46.0,48.0,3550.0,3400.0,3400.0,4600.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.3,100.0,0.0,0.0,26.7,20.7,0,0.7
2025-04-17_10:56:12,53.0,47.0,47.0,46.0,48.0,47.0,53.0,46.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.9,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.8,0.0,100.0,9.1,0.0,27.1,21.0,0,0.7
2025-04-17_10:56:12,53.0,47.0,47.0,46.0,48.0,47.0,53.0,46.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,100.0,0.0,0.0,26.8,20.9,0,0.7
2025-04-17_10:56:12,53.0,47.0,47.0,46.0,48.0,47.0,53.0,46.0,48.0,3550.1,3400.0,3400.0,4602.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,4.5,100.0,4.3,0.0,27.2,21.0,0,0.7
2025-04-17_10:56:13,53.0,47.0,47.0,46.0,48.0,47.0,53.0,46.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.7,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,4.8,4.5,0.0,0.0,0.0,100.0,0.0,0.0,27.9,21.9,0,0.7
2025-04-17_10:56:13,53.0,48.0,48.0,47.0,48.0,47.0,53.0,47.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.8,0.0,0.0,15.0,0.0,0.0,0.0,0.0,4.5,5.0,0.0,0.0,0.0,0.0,100.0,4.8,4.5,26.9,20.9,0,0.7
2025-04-17_10:56:13,53.0,48.0,48.0,47.0,48.0,47.0,53.0,47.0,48.0,3550.1,3400.0,3400.0,4601.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.3,0.0,4.3,100.0,0.0,0.0,27.4,21.3,0,0.7
2025-04-17_10:56:13,53.0,48.0,48.0,47.0,48.0,47.0,53.0,47.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.4,0.0,4.8,14.3,0.0,0.0,0.0,4.5,0.0,4.8,0.0,0.0,0.0,0.0,100.0,4.8,0.0,27.0,21.0,0,0.7
2025-04-17_10:56:13,53.0,48.0,48.0,47.0,48.0,47.0,53.0,47.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.2,0.0,0.0,10.5,0.0,0.0,0.0,4.8,0.0,13.6,0.0,0.0,0.0,0.0,100.0,4.8,0.0,27.4,21.3,0,0.7
2025-04-17_10:56:14,53.0,48.0,48.0,47.0,48.0,47.0,53.0,47.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.4,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,5.0,4.5,0.0,0.0,4.8,100.0,4.8,0.0,27.3,21.3,0,0.7
2025-04-17_10:56:14,53.0,48.0,47.0,46.0,48.0,47.0,53.0,46.0,49.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.8,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,26.6,20.6,0,0.7
2025-04-17_10:56:14,53.0,48.0,47.0,46.0,48.0,47.0,53.0,46.0,49.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.4,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,8.7,0.0,4.8,100.0,0.0,0.0,27.1,21.1,0,0.7
2025-04-17_10:56:14,53.0,48.0,47.0,46.0,48.0,47.0,53.0,46.0,49.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.8,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,4.5,100.0,0.0,0.0,26.7,20.7,0,0.7
2025-04-17_10:56:15,53.0,48.0,47.0,46.0,48.0,47.0,53.0,46.0,49.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.4,0.0,0.0,15.0,4.3,0.0,0.0,4.8,0.0,5.0,0.0,0.0,0.0,0.0,100.0,4.8,0.0,27.3,21.2,0,0.7
2025-04-17_10:56:15,53.0,48.0,47.0,46.0,48.0,47.0,53.0,46.0,49.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.2,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,27.1,21.1,0,0.7
2025-04-17_10:56:15,53.0,48.0,48.0,47.0,48.0,47.0,54.0,47.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.8,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,4.5,100.0,0.0,4.5,26.7,20.7,0,0.7
2025-04-17_10:56:15,53.0,48.0,48.0,47.0,48.0,47.0,54.0,47.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,100.0,4.5,0.0,27.2,21.2,0,0.7
2025-04-17_10:56:15,53.0,48.0,48.0,47.0,48.0,47.0,54.0,47.0,48.0,3550.0,3400.0,3400.0,4600.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.5,0.0,0.0,100.0,0.0,0.0,27.0,20.9,0,0.7
2025-04-17_10:56:16,53.0,48.0,48.0,47.0,48.0,47.0,54.0,47.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.7,0.0,0.0,15.0,0.0,0.0,0.0,0.0,4.5,9.1,0.0,0.0,0.0,4.8,100.0,0.0,13.6,28.3,22.3,0,0.8
2025-04-17_10:56:16,53.0,48.0,48.0,47.0,48.0,47.0,54.0,47.0,48.0,3550.0,3400.0,3400.0,4600.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.8,0.0,4.3,13.6,0.0,4.3,0.0,0.0,0.0,4.5,0.0,4.3,0.0,0.0,100.0,0.0,0.0,27.0,20.9,0,0.7
2025-04-17_10:56:16,53.0,51.0,48.0,47.0,48.0,48.0,53.0,48.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.7,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,100.0,4.8,0.0,26.9,20.9,0,0.7
2025-04-17_10:56:16,53.0,51.0,48.0,47.0,48.0,48.0,53.0,48.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.8,100.0,0.0,0.0,27.2,21.1,0,0.7
2025-04-17_10:56:16,53.0,51.0,48.0,47.0,48.0,48.0,53.0,48.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,4.8,14.3,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,4.8,0.0,100.0,9.1,0.0,26.7,20.7,0,0.7
2025-04-17_10:56:17,53.0,51.0,48.0,47.0,48.0,48.0,53.0,48.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,4.8,4.8,0.0,0.0,0.0,100.0,0.0,0.0,26.8,20.7,0,0.7
2025-04-17_10:56:17,53.0,51.0,48.0,47.0,48.0,48.0,53.0,48.0,48.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,7.8,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8,0.0,4.8,100.0,4.8,0.0,26.9,20.8,0,0.7
2025-04-17_10:56:17,54.0,48.0,49.0,47.0,49.0,48.0,54.0,50.0,49.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.7,0.0,0.0,14.3,4.5,0.0,0.0,0.0,0.0,0.0,5.0,4.5,0.0,0.0,100.0,0.0,0.0,27.6,21.4,0,0.7
2025-04-17_10:56:17,54.0,48.0,49.0,47.0,49.0,48.0,54.0,50.0,49.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.4,0.0,0.0,15.0,0.0,0.0,4.8,0.0,0.0,0.0,13.6,0.0,0.0,0.0,100.0,4.8,4.5,27.7,21.6,0,0.7
2025-04-17_10:56:17,54.0,48.0,49.0,47.0,49.0,48.0,54.0,50.0,49.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,18.2,0.0,0.0,0.0,4.5,0.0,0.0,4.8,0.0,0.0,0.0,100.0,0.0,0.0,26.6,20.7,0,0.7
2025-04-17_10:56:18,54.0,48.0,49.0,47.0,49.0,48.0,54.0,50.0,49.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.4,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,4.5,100.0,0.0,0.0,28.4,22.2,0,0.7
